,premier,home,away,time
311,Greek Super League,Asteras Tripoli,OFI Crete,2018-12-15 12:30
312,Swiss Super League,FC Sion,FC Basel,2018-12-15 13:00
313,Swiss Super League,FC Thun,Grasshoppers,2018-12-15 13:00
314,Danish SAS-Ligaen,Randers FC,Vejle BK,2018-12-15 10:00
315,Austrian Bundesliga,FC Wacker Innsbruck,RZ Pellets WAC,2018-12-15 11:00
316,Austrian Bundesliga,LASK Linz,SV Mattersburg,2018-12-15 11:00
317,Austrian Bundesliga,SK Sturm Graz,FC Admira Wacker Modling,2018-12-15 11:00
318,Australian A-League,Wellington Phoenix FC,Central Coast Mariners,2018-12-15 01:35
319,Australian A-League,Western Sydney Wanderers,Sydney FC,2018-12-15 03:50
320,Israeli Premier League,Bnei Yehuda,Moadon Sport Ashdod,2018-12-15 10:00
321,Israeli Premier League,Hapoel Be'er,Hapoel Kiryat Shmona,2018-12-15 10:00
322,Israeli Premier League,Hapoel Ra'anana,Bnei Sakhnin,2018-12-15 10:00
323,Israeli Premier League,Hapoel Tel Aviv,Hapoel Hadera,2018-12-15 10:00
324,Israeli Premier League,Maccabi Netanya,Hapoel Haifa,2018-12-15 10:00
325,Romanian First Division,Voluntari,FK Astra Giurgiu,2018-12-15 07:00
326,Romanian First Division,Gaz Metan,Hermannstadt,2018-12-15 10:00
327,Romanian First Division,Dinamo Bucuresti,Universitatea Craiova,2018-12-15 13:00
328,Friendly,Flers,AG Caennaise,2018-12-15 12:00
329,English League One,Doncaster Rovers,Scunthorpe United,2018-12-15 07:15
330,English League One,Barnsley,Portsmouth,2018-12-15 10:00
331,English League One,Bradford City,Walsall,2018-12-15 10:00
332,English League One,Charlton Athletic,AFC Wimbledon,2018-12-15 10:00
333,English League One,Coventry City,Luton Town,2018-12-15 10:00
334,English League One,Fleetwood Town,Burton Albion,2018-12-15 10:00
335,English League One,Gillingham,Wycombe Wanderers,2018-12-15 10:00
336,English League One,Oxford United,Blackpool,2018-12-15 10:00
337,English League One,Rochdale,Plymouth Argyle,2018-12-15 10:00
338,English League One,Shrewsbury Town,Peterborough United,2018-12-15 10:00
339,English League One,Southend United,Accrington Stanley,2018-12-15 10:00
340,English League One,Sunderland,Bristol Rovers,2018-12-15 10:00
341,English League Two,Cambridge United,Yeovil Town,2018-12-15 10:00
342,English League Two,Carlisle United,Colchester United,2018-12-15 10:00
343,English League Two,Exeter City,Crewe Alexandra,2018-12-15 10:00
344,English League Two,Forest Green Rovers,Mansfield Town,2018-12-15 10:00
345,English League Two,Grimsby Town,Swindon Town,2018-12-15 10:00
346,English League Two,Lincoln City,Morecambe,2018-12-15 10:00
347,English League Two,Macclesfield Town,Crawley Town,2018-12-15 10:00
348,English League Two,Newport County,Milton Keynes Dons,2018-12-15 10:00
349,English League Two,Northampton Town,Stevenage,2018-12-15 10:00
350,English League Two,Notts County,Tranmere Rovers,2018-12-15 10:00
351,English League Two,Oldham Athletic,Bury,2018-12-15 10:00
352,English League Two,Port Vale,Cheltenham Town,2018-12-15 10:00
353,Scottish Championship,Ayr United,Ross County,2018-12-15 10:00
354,Scottish Championship,Falkirk,Greenock Morton,2018-12-15 10:00
355,Scottish Championship,Inverness Caledonian Thistle,Dundee United,2018-12-15 10:00
356,Scottish Championship,Partick Thistle,Alloa Athletic,2018-12-15 10:00
357,Scottish Championship,Queen of the South,Dunfermline Athletic,2018-12-15 10:00
358,Scottish League One,Airdrieonians,Arbroath,2018-12-15 10:00
359,Scottish League One,Forfar Athletic,Montrose,2018-12-15 10:00
360,Scottish League One,Raith Rovers,Dumbarton,2018-12-15 10:00
361,Scottish League One,Stenhousemuir,East Fife,2018-12-15 10:00
362,Scottish League One,Stranraer,Brechin City,2018-12-15 10:00
363,Scottish League Two,Berwick Rangers,Queen's Park,2018-12-15 10:00
364,Scottish League Two,Clyde,Annan Athletic,2018-12-15 10:00
365,Scottish League Two,Edinburgh City,Elgin City,2018-12-15 10:00
366,Scottish League Two,Peterhead,Cowdenbeath,2018-12-15 10:00
367,Scottish League Two,Stirling Albion,Albion Rovers,2018-12-15 10:00
368,Spanish Segunda División,Granada,Real Oviedo,2018-12-15 10:00
369,Spanish Segunda División,Numancia,Albacete,2018-12-15 12:00
370,Spanish Segunda División,Reus Deportiu,Cordoba,2018-12-15 12:00
371,Spanish Segunda División,Sporting Gijón,Mallorca,2018-12-15 14:00
372,Italian Serie B,Ascoli,Cittadella,2018-12-15 09:00
373,Italian Serie B,Palermo,Livorno,2018-12-15 09:00
374,Italian Serie B,Perugia,Spezia,2018-12-15 09:00
375,Italian Serie B,Cosenza,Benevento,2018-12-15 12:00
376,German 2. Bundesliga,FC Union Berlin,VfL Bochum,2018-12-15 07:00
377,German 2. Bundesliga,SC Paderborn 07,Dynamo Dresden,2018-12-15 07:00
378,German 2. Bundesliga,St Pauli,SpVgg Greuther Furth,2018-12-15 07:00
379,Northern Irish Premiership,Newry City AFC,Linfield,2018-12-15 08:00
380,Northern Irish Premiership,Ards,Cliftonville,2018-12-15 10:00
381,Northern Irish Premiership,Ballymena,Institute,2018-12-15 10:00
382,Northern Irish Premiership,Crusaders,Dungannon Swifts,2018-12-15 10:00
383,Northern Irish Premiership,Glentoran,Warrenpoint Town,2018-12-15 10:00
384,Welsh Premier League,Newtown,Llandudno Town,2018-12-15 14:30
385,Maltese Premier League,Mosta FC,Qormi FC,2018-12-15 08:00
386,Maltese Premier League,Pieta Hotspurs,Sliema Wanderers,2018-12-15 10:15
387,AFF Cup,Vietnam,Malaysia,2018-12-15 07:30
388,Indian Super League,Chennaiyin FC,Delhi Dynamos FC,2018-12-15 09:00
389,Indian I-League,NEROCA FC,Churchill Brothers,2018-12-15 03:30
390,Indian I-League,Gokulam Kerala FC,Real Kashmir,2018-12-15 06:30
391,South African Premiership,Black Leopards,Amazulu,2018-12-15 08:30
392,South African Premiership,SuperSport United,Maritzburg Utd,2018-12-15 11:00
393,South African First Division,Mbombela United,Maccabi FC,2018-12-15 08:30
394,South African First Division,Pretoria Univ,Richards Bay,2018-12-15 08:30
395,South African First Division,Stellenbosch FC,Cape Umoya United,2018-12-15 08:30
396,South African First Division,TS Sporting,TS Galaxy,2018-12-15 08:30
397,South African First Division,Uthongathi,Jomo Cosmos,2018-12-15 08:30
398,South African First Division,Witbank Spurs,Royal Eagles,2018-12-15 08:30
399,English Premier League,Brighton & Hove Albion,Chelsea,2018-12-16 08:30
400,English Premier League,Southampton,Arsenal,2018-12-16 08:30
401,English Premier League,Liverpool,Manchester United,2018-12-16 11:00
402,Spanish Primera División,Sevilla FC,Girona,2018-12-16 06:00
403,Spanish Primera División,Espanyol,Real Betis,2018-12-16 10:15
404,Spanish Primera División,Huesca,Villarreal,2018-12-16 12:30
405,Spanish Primera División,Levante,Barcelona,2018-12-16 14:45
406,Italian Serie A,SPAL,Chievo Verona,2018-12-16 06:30
407,Italian Serie A,Fiorentina,Empoli,2018-12-16 09:00
408,Italian Serie A,Frosinone,Sassuolo,2018-12-16 09:00
409,Italian Serie A,Sampdoria,Parma,2018-12-16 09:00
410,Italian Serie A,Cagliari,Napoli,2018-12-16 12:00
411,Italian Serie A,AS Roma,Genoa,2018-12-16 14:30
412,German Bundesliga,RB Leipzig,Mainz,2018-12-16 09:30
413,German Bundesliga,Eintracht Frankfurt,Bayer Leverkusen,2018-12-16 12:00
414,French Ligue 1,Lyon,AS Monaco,2018-12-16 07:00
415,French Ligue 1,Nimes,Lille,2018-12-16 09:00
416,French Ligue 1,Guingamp,Stade Rennes,2018-12-16 11:00
417,French Ligue 1,Marseille,Bordeaux,2018-12-16 15:00
418,Dutch Eredivisie,Heerenveen,FC Utrecht,2018-12-16 06:15
419,Dutch Eredivisie,Ajax Amsterdam,De Graafschap,2018-12-16 08:30
420,Dutch Eredivisie,FC Groningen,FC Emmen VV,2018-12-16 08:30
421,Dutch Eredivisie,Feyenoord Rotterdam,Fortuna Sittard,2018-12-16 10:45
422,Portuguese Liga,Rio Ave,Belenenses,2018-12-16 10:00
423,Portuguese Liga,Maritimo,Benfica,2018-12-16 12:30
424,Portuguese Liga,Sporting CP,CD Nacional de Madeira,2018-12-16 15:00
425,Scottish Premiership,Hibernian,Celtic,2018-12-16 07:30
426,Scottish Premiership,Rangers,Hamilton Academical,2018-12-16 10:00
427,Turkish Super Lig,Yeni Malatyaspor,Antalyaspor,2018-12-16 05:30
428,Turkish Super Lig,Kayserispor,Akhisar Belediyespor,2018-12-16 08:00
429,Turkish Super Lig,Besiktas,Trabzonspor,2018-12-16 11:00
430,Belgian First Division A,Cercle Brugge KSV,Anderlecht,2018-12-16 08:30
431,Belgian First Division A,Racing Genk,KV Oostende,2018-12-16 12:00
432,Belgian First Division A,Standard Liege,Zulte-Waregem,2018-12-16 14:00
433,Greek Super League,Apollon Smyrni,FC Xanthi,2018-12-16 09:00
434,Greek Super League,Larissa FC,AEK Athens,2018-12-16 10:15
435,Greek Super League,Panathinaikos,Atromitos,2018-12-16 12:00
436,Greek Super League,Olympiakos,Lamia,2018-12-16 12:30
437,Swiss Super League,FC Zürich,FC Lugano,2018-12-16 10:00
438,Swiss Super League,Lucerne,St Gallen,2018-12-16 10:00
439,Swiss Super League,Neuchatel Xamax,Young Boys,2018-12-16 10:00
440,Danish SAS-Ligaen,Esbjerg FB,FC Nordsjaelland,2018-12-16 06:00
441,Danish SAS-Ligaen,AC Horsens,FC Midtjylland,2018-12-16 08:00
442,Danish SAS-Ligaen,Sonderjyske,FC Copenhagen,2018-12-16 10:00
443,Danish SAS-Ligaen,Brøndby,Vendsyssel,2018-12-16 12:00
444,Austrian Bundesliga,FC Salzburg,St. Pölten,2018-12-16 08:30
445,Austrian Bundesliga,SC Rheindorf Altach,TSV Hartberg,2018-12-16 08:30
446,Austrian Bundesliga,Austria Vienna,Rapid Vienna,2018-12-16 11:00
447,Australian A-League,Newcastle Jets,Perth Glory,2018-12-16 01:00
448,Australian A-League,Adelaide United,Melbourne City FC,2018-12-16 03:00
449,Israeli Premier League,Beitar Jerusalem,Maccabi Petach-Tikva,2018-12-16 13:30
450,Romanian First Division,Dunarea Calarasi,Sepsi Sfantu Gheorghe,2018-12-16 07:00
451,Romanian First Division,FC Botosani,FCSB,2018-12-16 13:00
452,Spanish Segunda División,Rayo Majadahonda,Elche,2018-12-16 06:00
453,Spanish Segunda División,Osasuna,AD Alcorcon,2018-12-16 10:00
454,Spanish Segunda División,Extremadura UD,Gimnastic de Tarragona,2018-12-16 12:00
455,Spanish Segunda División,Las Palmas,Tenerife,2018-12-16 12:00
456,Spanish Segunda División,Almeria,Lugo,2018-12-16 14:00
457,Spanish Segunda División,Deportivo La Coruña,Real Zaragoza,2018-12-16 14:30
458,Italian Serie B,Carpi,Salernitana,2018-12-16 09:00
459,Italian Serie B,Crotone,Venezia FC,2018-12-16 09:00
460,Italian Serie B,Brescia,Lecce,2018-12-16 15:00
461,German 2. Bundesliga,FC Erzgebirge Aue,SV Darmstadt 98,2018-12-16 07:30
462,German 2. Bundesliga,FC Ingolstadt 04,1. FC Heidenheim,2018-12-16 07:30
463,German 2. Bundesliga,SV Sandhausen,SSV Jahn Regensburg,2018-12-16 07:30
464,Colombian Primera A,Independiente Medellín,Atlético Junior,2018-12-16 16:30
465,Peruvian Primera Profesional,Sporting Cristal,Alianza Lima,2018-12-16 16:00
466,Bolivian Liga Profesional,Destroyers,Universitario de Sucre,2018-12-16 15:00
467,Bolivian Liga Profesional,Guabirá,Sport Boys Warnes,2018-12-16 15:00
468,Bolivian Liga Profesional,Oriente Petrolero,Bolívar,2018-12-16 15:00
469,Bolivian Liga Profesional,Real Potosí,Aurora,2018-12-16 15:00
470,Bolivian Liga Profesional,San José,Royal Pari,2018-12-16 15:00
471,Bolivian Liga Profesional,The Strongest,Blooming,2018-12-16 15:00
472,Bolivian Liga Profesional,Wilstermann,Nacional Potosí,2018-12-16 15:00
473,Maltese Premier League,Senglea Athletic FC,Birkirkara,2018-12-16 08:00
474,Maltese Premier League,Floriana FC,Tarxien Rainbows,2018-12-16 10:00
475,Indian Super League,Mumbai City FC,Kerala Blasters FC,2018-12-16 09:00
476,Honduran Primera Division,CD Motagua,Olimpia,2018-12-16 17:00
477,Indian I-League,Minerva Punjab,Chennai City,2018-12-16 03:30
478,Indian I-League,East Bengal,Mohun Bagan,2018-12-16 06:30
479,South African Premiership,Baroka FC,Bidvest Wits,2018-12-16 08:30
480,South African First Division,Ubuntu Cape Town,Real Kings,2018-12-16 08:30
481,Spanish Primera División,Alavés,Athletic Bilbao,2018-12-17 15:00
482,Italian Serie A,Atalanta,Lazio,2018-12-17 14:30
483,English League Championship,Derby County,Nottingham Forest,2018-12-17 14:45
484,English FA Cup,Southport,Tranmere Rovers,2018-12-17 14:45
485,Turkish Super Lig,Fenerbahce,Erzurum BB,2018-12-17 12:00
486,Greek Super League,Levadiakos,PAOK Salonika,2018-12-17 12:30
487,Danish SAS-Ligaen,AGF Aarhus,Hobro IK,2018-12-17 13:00
488,Israeli Premier League,Maccabi Haifa,Maccabi Tel-Aviv,2018-12-17 14:00
489,Romanian First Division,Viitorul Constanta,CFR Cluj-Napoca,2018-12-17 13:00
490,Italian Serie B,Hellas Verona,US Pescara,2018-12-17 15:00
491,German 2. Bundesliga,FC Cologne,1. FC Magdeburg,2018-12-17 14:30
492,Maltese Premier League,Balzan FC,Hibernians,2018-12-17 12:00
493,Maltese Premier League,Valletta,Hamrun Spartans,2018-12-17 14:00
494,South African Premiership,Bloem Celtic,Highlands Park FC,2018-12-17 08:30
495,South African First Division,Tshakhuma Tsha Madzivhandila,Ajax Cape Town,2018-12-17 08:30
496,Italian Serie A,Bologna,AC Milan,2018-12-18 14:30
497,German Bundesliga,Borussia Monchengladbach,Nurnberg,2018-12-18 12:30
498,German Bundesliga,Fortuna Düsseldorf,Borussia Dortmund,2018-12-18 14:30
499,German Bundesliga,Hertha Berlin,FC Augsburg,2018-12-18 14:30
500,German Bundesliga,VfL Wolfsburg,VfB Stuttgart,2018-12-18 14:30
501,English FA Cup,Blackpool,Solihull Moors,2018-12-18 14:45
502,English Carabao Cup,Leicester City,Manchester City,2018-12-18 14:45
503,English Carabao Cup,Middlesbrough,Burton Albion,2018-12-18 14:45
504,French Coupe de la Ligue,Orléans,Paris Saint-Germain,2018-12-18 15:00
505,FIFA Club World Cup,Quarter-Final Loser 1,Quarter-Final Loser 2,2018-12-18 08:30
506,Scottish Premiership,Aberdeen,Dundee,2018-12-18 14:45
507,Dutch KNVB Beker,Willem II Tilburg,AFC,2018-12-18 12:30
508,Dutch KNVB Beker,FC Twente,RKC Waalwijk,2018-12-18 13:45
509,Dutch KNVB Beker,AZ Alkmaar,PEC Zwolle,2018-12-18 14:45
510,English EFL Trophy,Oxford United,Tottenham U21,2018-12-18 14:45
511,German Bundesliga,Schalke 04,Bayer Leverkusen,2018-12-19 12:30
512,German Bundesliga,Bayern Munich,RB Leipzig,2018-12-19 14:30
513,German Bundesliga,Mainz,Eintracht Frankfurt,2018-12-19 14:30
514,German Bundesliga,SC Freiburg,Hannover 96,2018-12-19 14:30
515,German Bundesliga,Werder Bremen,TSG Hoffenheim,2018-12-19 14:30
516,English Carabao Cup,Arsenal,Tottenham Hotspur,2018-12-19 14:45
517,English Carabao Cup,Chelsea,AFC Bournemouth,2018-12-19 14:45
518,French Coupe de la Ligue,SC Amiens,Lyon,2018-12-19 12:45
519,French Coupe de la Ligue,AS Monaco,Lorient,2018-12-19 15:05
520,French Coupe de la Ligue,Dijon FCO,Bordeaux,2018-12-19 15:05
521,French Coupe de la Ligue,Le Havre AC,Nimes,2018-12-19 15:05
522,French Coupe de la Ligue,Marseille,Strasbourg,2018-12-19 15:05
523,French Coupe de la Ligue,Nice,Guingamp,2018-12-19 15:05
524,French Coupe de la Ligue,Stade Rennes,Nantes,2018-12-19 15:05
525,FIFA Club World Cup,TBD,Real Madrid,2018-12-19 11:30
526,Scottish Premiership,Celtic,Motherwell,2018-12-19 14:45
527,Scottish Premiership,Hibernian,Rangers,2018-12-19 14:45
528,Romanian First Division,Universitatea Craiova,Gaz Metan,2018-12-19 13:00
529,Dutch KNVB Beker,ODIN '59,Heerenveen,2018-12-19 12:30
530,Dutch KNVB Beker,Fortuna Sittard,SC Cambuur,2018-12-19 13:45
531,Dutch KNVB Beker,Roda JC Kerkrade,Ajax Amsterdam,2018-12-19 14:45
532,Indian I-League,Minerva Punjab,Mohun Bagan,2018-12-19 03:30
533,Romanian First Division,FC Botosani,Dunarea Calarasi,2018-12-20 10:30
534,Romanian First Division,FK Astra Giurgiu,Dinamo Bucuresti,2018-12-20 13:00
535,Dutch KNVB Beker,Kozakken Boys,Vitesse Arnhem,2018-12-20 12:30
536,Dutch KNVB Beker,Feyenoord Rotterdam,FC Utrecht,2018-12-20 14:45
537,Indian I-League,Churchill Brothers,East Bengal,2018-12-20 06:30
538,English Premier League,Wolverhampton Wanderers,Liverpool,2018-12-21 15:00
539,Spanish Primera División,Girona,Getafe,2018-12-21 13:30
540,Spanish Primera División,Real Sociedad,Alavés,2018-12-21 15:00
541,German Bundesliga,Borussia Dortmund,Borussia Monchengladbach,2018-12-21 14:30
542,Dutch Eredivisie,VVV Venlo,PEC Zwolle,2018-12-21 14:00
543,Belgian First Division A,KAA Gent,Cercle Brugge KSV,2018-12-21 14:30
544,Australian A-League,Perth Glory,Sydney FC,2018-12-21 05:00
545,Romanian First Division,CSMS Iasi,Voluntari,2018-12-21 10:30
546,Romanian First Division,Sepsi Sfantu Gheorghe,Concordia Chiajna,2018-12-21 13:00
547,Spanish Segunda División,Tenerife,Granada,2018-12-21 13:00
548,Spanish Segunda División,Mallorca,Gimnastic de Tarragona,2018-12-21 15:00
549,Italian Serie B,Ascoli,Brescia,2018-12-21 15:00
550,German 2. Bundesliga,FC Cologne,VfL Bochum,2018-12-21 12:30
551,German 2. Bundesliga,SV Sandhausen,SpVgg Greuther Furth,2018-12-21 12:30
552,French Ligue 2,AJ Auxerre,Grenoble,2018-12-21 14:30
553,French Ligue 2,Beziers AS,Orléans,2018-12-21 14:30
554,French Ligue 2,Chateauroux,GFC Ajaccio,2018-12-21 14:30
555,French Ligue 2,Metz,AS Nancy Lorraine,2018-12-21 14:30
556,French Ligue 2,Niort,Brest,2018-12-21 14:30
557,French Ligue 2,Paris FC,Red Star FC 93,2018-12-21 14:30
558,French Ligue 2,Troyes,Clermont Foot,2018-12-21 14:30
559,Northern Irish Premiership,Newry City AFC,Glentoran,2018-12-21 14:45
560,Welsh Premier League,Aberystwyth,Cefn Druids,2018-12-21 14:45
561,Dutch Eerste Divisie,AZ Reserves,FC Eindhoven,2018-12-21 14:00
562,Dutch Eerste Divisie,Dordrecht '90,FC Oss,2018-12-21 14:00
563,Dutch Eerste Divisie,FC Twente,NEC Nijmegen,2018-12-21 14:00
564,Dutch Eerste Divisie,FC Volendam,SC Stormvogels Telstar,2018-12-21 14:00
565,Dutch Eerste Divisie,Helmond Sport,Jong FC Utrecht,2018-12-21 14:00
566,Dutch Eerste Divisie,Jong Ajax,Sparta Rotterdam,2018-12-21 14:00
567,Dutch Eerste Divisie,Jong PSV,Almere City,2018-12-21 14:00
568,Dutch Eerste Divisie,RKC Waalwijk,Go Ahead Eagles,2018-12-21 14:00
569,Indian I-League,Indian Arrows,Gokulam Kerala FC,2018-12-21 06:30
570,South African Premiership,Bidvest Wits,Chippa United,2018-12-21 13:00
571,English Premier League,Arsenal,Burnley,2018-12-22 07:30
572,English Premier League,AFC Bournemouth,Brighton & Hove Albion,2018-12-22 10:00
573,English Premier League,Chelsea,Leicester City,2018-12-22 10:00
574,English Premier League,Huddersfield Town,Southampton,2018-12-22 10:00
575,English Premier League,Manchester City,Crystal Palace,2018-12-22 10:00
576,English Premier League,Newcastle United,Fulham,2018-12-22 10:00
577,English Premier League,West Ham United,Watford,2018-12-22 10:00
578,English Premier League,Cardiff City,Manchester United,2018-12-22 12:30
579,Spanish Primera División,Real Betis,Eibar,2018-12-22 07:00
580,Spanish Primera División,Atletico Madrid,Espanyol,2018-12-22 10:15
581,Spanish Primera División,Barcelona,Celta Vigo,2018-12-22 12:30
582,Spanish Primera División,Athletic Bilbao,Real Valladolid,2018-12-22 14:45
583,Italian Serie A,Lazio,Cagliari,2018-12-22 06:30
584,Italian Serie A,AC Milan,Fiorentina,2018-12-22 09:00
585,Italian Serie A,Empoli,Sampdoria,2018-12-22 09:00
586,Italian Serie A,Genoa,Atalanta,2018-12-22 09:00
587,Italian Serie A,Napoli,SPAL,2018-12-22 09:00
588,Italian Serie A,Parma,Bologna,2018-12-22 09:00
589,Italian Serie A,Sassuolo,Torino,2018-12-22 09:00
590,Italian Serie A,Udinese,Frosinone,2018-12-22 09:00
591,Italian Serie A,Chievo Verona,Internazionale,2018-12-22 12:00
592,Italian Serie A,Juventus,AS Roma,2018-12-22 14:30
593,German Bundesliga,Bayer Leverkusen,Hertha Berlin,2018-12-22 09:30
594,German Bundesliga,Hannover 96,Fortuna Düsseldorf,2018-12-22 09:30
595,German Bundesliga,Nurnberg,SC Freiburg,2018-12-22 09:30
596,German Bundesliga,RB Leipzig,Werder Bremen,2018-12-22 09:30
597,German Bundesliga,VfB Stuttgart,Schalke 04,2018-12-22 09:30
598,German Bundesliga,Eintracht Frankfurt,Bayern Munich,2018-12-22 12:30
599,French Ligue 1,Angers,Marseille,2018-12-22 15:00
600,French Ligue 1,AS Monaco,Guingamp,2018-12-22 15:00
601,French Ligue 1,Bordeaux,SC Amiens,2018-12-22 15:00
602,French Ligue 1,Lille,Toulouse,2018-12-22 15:00
603,French Ligue 1,Montpellier,Lyon,2018-12-22 15:00
604,French Ligue 1,Paris Saint-Germain,Nantes,2018-12-22 15:00
605,French Ligue 1,Saint-Etienne,Dijon FCO,2018-12-22 15:00
606,French Ligue 1,Stade de Reims,Caen,2018-12-22 15:00
607,French Ligue 1,Stade Rennes,Nimes,2018-12-22 15:00
608,French Ligue 1,Strasbourg,Nice,2018-12-22 15:00
609,English League Championship,Blackburn Rovers,Norwich City,2018-12-22 10:00
610,English League Championship,Brentford,Bolton Wanderers,2018-12-22 10:00
611,English League Championship,Derby County,Bristol City,2018-12-22 10:00
612,English League Championship,Ipswich Town,Sheffield United,2018-12-22 10:00
613,English League Championship,Nottingham Forest,Queens Park Rangers,2018-12-22 10:00
614,English League Championship,Reading,Middlesbrough,2018-12-22 10:00
615,English League Championship,Rotherham United,West Bromwich Albion,2018-12-22 10:00
616,English League Championship,Sheffield Wednesday,Preston North End,2018-12-22 10:00
617,English League Championship,Stoke City,Millwall,2018-12-22 10:00
618,English League Championship,Wigan Athletic,Birmingham City,2018-12-22 10:00
619,English League Championship,Hull City,Swansea City,2018-12-22 12:30
620,FIFA Club World Cup,semifinal 1 loser,semifinal 2 loser,2018-12-22 08:30
